fig3_row,Ne,M,Me,h2,N,Mlambda,S,S_A,S_B,S_over_Me
bottom,20,20000,2000,0.9,50000,2222.22,2279.891,1775.231,504.66,1.1399
bottom,20,20000,2000,0.95,50000,1052.63,2664.9,1878.133,786.766,1.3324
bottom,50,50000,5000,0.05,10000,950000.0,254.668,254.279,0.389,0.0509
bottom,50,50000,5000,0.1,10000,450000.0,403.884,403.064,0.82,0.0808
bottom,50,50000,5000,0.2,10000,200000.0,629.552,627.707,1.844,0.1259
bottom,50,50000,5000,0.3,10000,116666.67,819.722,816.562,3.16,0.1639
bottom,50,50000,5000,0.4,10000,75000.0,1000.599,995.687,4.912,0.2001
bottom,50,50000,5000,0.5,10000,50000.0,1186.858,1179.498,7.359,0.2374
bottom,50,50000,5000,0.6,10000,33333.33,1392.865,1381.845,11.021,0.2786
bottom,50,50000,5000,0.7,10000,21428.57,1640.193,1623.098,17.095,0.328
bottom,50,50000,5000,0.8,10000,12500.0,1974.601,1945.457,29.144,0.3949
bottom,50,50000,5000,0.9,10000,5555.56,2545.704,2481.192,64.512,0.5091
bottom,50,50000,5000,0.95,10000,2631.58,3142.6,3010.621,131.979,0.6285
bottom,50,50000,5000,0.05,20000,950000.0,396.086,394.784,1.303,0.0792
bottom,50,50000,5000,0.1,20000,450000.0,602.311,599.562,2.749,0.1205
bottom,50,50000,5000,0.2,20000,200000.0,900.06,893.882,6.177,0.18
bottom,50,50000,5000,0.3,20000,116666.67,1143.568,1132.995,10.573,0.2287
bottom,50,50000,5000,0.4,20000,75000.0,1371.711,1355.297,16.414,0.2743
bottom,50,50000,5000,0.5,20000,50000.0,1604.564,1580.015,24.549,0.3209
bottom,50,50000,5000,0.6,20000,33333.33,1860.675,1824.009,36.666,0.3721
bottom,50,50000,5000,0.7,20000,21428.57,2167.094,2110.462,56.632,0.4334
bottom,50,50000,5000,0.8,20000,12500.0,2580.684,2484.947,95.737,0.5161
bottom,50,50000,5000,0.9,20000,5555.56,3287.565,3080.603,206.962,0.6575
bottom,50,50000,5000,0.95,20000,2631.58,4029.704,3623.446,406.259,0.8059
bottom,50,50000,5000,0.05,50000,950000.0,664.611,660.521,4.09,0.1329
bottom,50,50000,5000,0.1,50000,450000.0,957.372,948.75,8.622,0.1915
bottom,50,50000,5000,0.2,50000,200000.0,1359.626,1340.293,19.333,0.2719
bottom,50,50000,5000,0.3,50000,116666.67,1679.216,1646.221,32.996,0.3358
