Ne,h2,N,rep,R2_random,R2_full
Ne20,0.5,10000,71,0.9222894339831935,0.9333135360884685
Ne20,0.5,10000,76,0.8985575485225958,0.9111870183883412
Ne20,0.5,10000,74,0.908118522901169,0.9177276337875909
Ne20,0.5,10000,77,0.9177914315495593,0.9250801930018613
Ne20,0.5,10000,75,0.9128741247687988,0.9271525030671416
Ne20,0.5,10000,72,0.9246099401194519,0.9298319789744119
Ne20,0.5,10000,81,0.9125381065860009,0.9294119244438679
Ne20,0.5,10000,78,0.8914928909806361,0.9082940185046179
Ne20,0.5,10000,84,0.9072826288796842,0.9231914731645149
Ne20,0.5,10000,79,0.8996710506136565,0.9133321838011789
Ne20,0.5,10000,88,0.9140785738793539,0.926654707194584
Ne20,0.5,10000,80,0.9207249760015433,0.9334387693524189
Ne20,0.5,10000,87,0.9426413182055052,0.9476840293284043
Ne20,0.5,10000,86,0.9077536098252476,0.9210735861449771
Ne20,0.5,10000,82,0.9132367914435175,0.9228402470372717
Ne20,0.5,10000,85,0.9209700716546224,0.9317590373165221
Ne20,0.5,10000,91,0.9122774077109634,0.9296373269828744
Ne20,0.5,10000,92,0.914770508366313,0.9289375833325453
Ne20,0.5,10000,83,0.9217540644627048,0.9313125502107567
Ne20,0.5,10000,93,0.9283461503793874,0.9365820312414247
Ne20,0.5,10000,90,0.9231029640066419,0.9365392946771249
Ne20,0.5,10000,97,0.9203252774542966,0.930692158745178
Ne20,0.5,10000,94,0.9361409358403473,0.9364060060694398
Ne20,0.5,10000,89,0.8896760016487718,0.900123517188176
Ne20,0.5,10000,96,0.8928526872046286,0.9124225610019561
Ne20,0.5,10000,98,0.9189704964246868,0.9235720065076191
Ne20,0.5,10000,95,0.9274819837856418,0.9409919719296848
Ne20,0.5,10000,100,0.8821953670538437,0.9114023790691343
Ne20,0.5,10000,99,0.9060951929956249,0.9217278618362876
Ne20,0.5,20000,1,0.9311034086236247,0.9431260039345962
Ne20,0.5,20000,5,0.9394725004398758,0.9521122505160677
Ne20,0.5,20000,2,0.9426991996190411,0.9525542861418627
Ne20,0.5,20000,4,0.9378018262763081,0.9487886040863577
Ne20,0.5,20000,3,0.9459849731931788,0.9576213141387836
Ne20,0.5,20000,6,0.9456939566634093,0.9575360928503406
Ne20,0.5,20000,8,0.9601574398839151,0.964059870233208
Ne20,0.5,20000,7,0.9421305956651649,0.9537077030607841
Ne20,0.5,20000,9,0.9490530954306797,0.9568838483671717
Ne20,0.5,20000,11,0.9327165064426023,0.9444124903835113
Ne20,0.5,20000,10,0.945066906931479,0.9522631379080622
Ne20,0.5,20000,12,0.9414131614611587,0.9572824816205757
Ne20,0.5,20000,15,0.9144785053038093,0.9295984433150509
Ne20,0.5,20000,13,0.936081580359763,0.9512572318621986
Ne20,0.5,20000,17,0.9336299404844282,0.9461640931900388
Ne20,0.5,20000,14,0.9516822251646145,0.9612361941828075
Ne20,0.5,20000,16,0.9443587555464945,0.9534072512202589
Ne20,0.5,20000,19,0.9390704543600888,0.950413694307815
Ne20,0.5,20000,18,0.9400515209172401,0.9484371632356106
Ne20,0.5,20000,21,0.9420910500452234,0.9498186723288523
Ne20,0.5,20000,24,0.9505118416745979,0.9587826564554451
Ne20,0.5,20000,22,0.9373188483026994,0.9522825684642395
Ne20,0.5,20000,25,0.9547084795043751,0.9608598381140091
Ne20,0.5,20000,23,0.9390342933193205,0.9494787973231408
Ne20,0.5,20000,20,0.9421450134715169,0.9525064214958735
Ne20,0.5,20000,27,0.9436978451707165,0.9546179447198417
Ne20,0.5,20000,26,0.9499182245491399,0.9600158265187696
Ne20,0.5,20000,28,0.948688877855753,0.9565478740516101
Ne20,0.5,20000,31,0.9455011276574885,0.9526262978459028
Ne20,0.5,20000,33,0.9336865345221559,0.9428067475278182
Ne20,0.5,20000,32,0.9401659491410769,0.9514694377449875
Ne20,0.5,20000,30,0.9388190555815952,0.9494821453939214
Ne20,0.5,20000,37,0.9444733589846623,0.9541702070082128
Ne20,0.5,20000,29,0.9463971930702806,0.9541936624314498
Ne20,0.5,20000,35,0.9420129515359852,0.9512495968779564
Ne20,0.5,20000,36,0.933404240115259,0.9469740776883715
Ne20,0.5,20000,44,0.9406110810556746,0.9521072519502344
Ne20,0.5,20000,34,0.9415383547784946,0.9470018935328351
Ne20,0.5,20000,38,0.9352399949028976,0.9535363386858405
Ne20,0.5,20000,40,0.9348846844597145,0.949797147626701
Ne20,0.5,20000,42,0.9356818190083434,0.9486223059542116
Ne20,0.5,20000,39,0.940841423076704,0.9507355925052244
Ne20,0.5,20000,41,0.9374207675488618,0.9500426283144162
Ne20,0.5,20000,47,0.9469957485445714,0.9565003871580723
Ne20,0.5,20000,45,0.9422209802170028,0.9523450087885602
Ne20,0.5,20000,43,0.9525657124762055,0.9613181425558023
Ne20,0.5,20000,50,0.9521900062367612,0.9596010287764902
Ne20,0.5,20000,52,0.9513156532149754,0.9593494186314113
Ne20,0.5,20000,48,0.9277247281694674,0.9407434960156924
Ne20,0.5,20000,49,0.945856619023544,0.9562556755242145
Ne20,0.5,20000,54,0.9443409758222188,0.9533072007178663
Ne20,0.5,20000,46,0.9496540472268026,0.959321936522399
Ne20,0.5,20000,51,0.9240044329989164,0.9387926547319277
Ne20,0.5,20000,56,0.9276584306736771,0.9432720887613387
Ne20,0.5,20000,55,0.9263519165853012,0.9454123946255582
Ne20,0.5,20000,53,0.9353829594837321,0.9491644740876402
Ne20,0.5,20000,57,0.9379686733750638,0.946797080127178
Ne20,0.5,20000,58,0.9456269956129246,0.9543782410817401
Ne20,0.5,20000,60,0.9440483016187442,0.9533257371011797
Ne20,0.5,20000,64,0.940091258821919,0.953730126619668
Ne20,0.5,20000,59,0.9153798311201328,0.9331081919473623
Ne20,0.5,20000,61,0.9445377945533432,0.9518908176429741
Ne20,0.5,20000,63,0.9481762675955305,0.9543479534070626
Ne20,0.5,20000,66,0.9357161418955283,0.944748001891347
Ne20,0.5,20000,62,0.9433462497819989,0.9528510526439932
Ne20,0.5,20000,65,0.9436457159608266,0.952710879982342
Ne20,0.5,20000,68,0.942763167315053,0.9553168929151705
Ne20,0.5,20000,67,0.9322241845767291,0.9427870042406907
Ne20,0.5,20000,69,0.9535248654699616,0.9650960700065176
Ne20,0.5,20000,70,0.9434930898892379,0.9551822307387319
Ne20,0.5,20000,71,0.947521161628359,0.9537180888423638
Ne20,0.5,20000,73,0.941901431749291,0.9499259146881289
Ne20,0.5,20000,74,0.9370406376038689,0.951370531280986
Ne20,0.5,20000,75,0.9381562889522513,0.9531263340244451
Ne20,0.5,20000,77,0.9438990921713231,0.9576077778568088
Ne20,0.5,20000,72,0.9417769545110244,0.955339215578534
Ne20,0.5,20000,76,0.9334487994051178,0.9519620450618574
Ne20,0.5,20000,79,0.9399800812466931,0.947179984089701
Ne20,0.5,20000,78,0.9394945087200071,0.9546895022590627
Ne20,0.5,20000,81,0.9398856201898602,0.9493951005638904
Ne20,0.5,20000,80,0.9344643193393984,0.9504489576588341
Ne20,0.5,20000,82,0.9320548720926018,0.9518199689850646
Ne20,0.5,20000,83,0.9475445813388738,0.956125488523862
Ne20,0.5,20000,84,0.9391027570758973,0.9503936058793412
Ne20,0.5,20000,86,0.9358814648275326,0.9536710861388955
Ne20,0.5,20000,85,0.9468129308148401,0.9597386579830718
Ne20,0.5,20000,88,0.9342748732690862,0.9441606597918383
Ne20,0.5,20000,89,0.9370066178393772,0.9504553579576933
Ne20,0.5,20000,87,0.9259967116768328,0.9423847170865809
Ne20,0.5,20000,91,0.9435340416017733,0.9530332307842005
Ne20,0.5,20000,90,0.9338809504020963,0.9443849784034674
Ne20,0.5,20000,92,0.954841129021767,0.9629574746682301
Ne20,0.5,20000,94,0.9491040172880639,0.9593321026824952
Ne20,0.5,20000,96,0.9388273684737835,0.9480048209957411
Ne20,0.5,20000,95,0.9384476325425373,0.9469735687232991
Ne20,0.5,20000,93,0.9476238737861642,0.9600089765144837
Ne20,0.5,20000,97,0.9377537173696975,0.9483297770074147
Ne20,0.5,20000,98,0.9453744360989316,0.9547499187253314
Ne20,0.5,20000,99,0.9294480404690232,0.9417626893484955
Ne20,0.5,20000,100,0.9383655339092049,0.9498182529343486
Ne20,0.5,50000,1,0.9583135078561992,0.9680620440005848
Ne20,0.5,50000,2,0.9614647542585985,0.9740887203369384
Ne20,0.5,50000,3,0.9698530460379703,0.9772275300352835
Ne20,0.5,50000,4,0.9469759866514957,0.9714636334854574
Ne20,0.5,50000,9,0.9492242302140201,0.9646896888425789
Ne20,0.5,50000,5,0.9748800033025364,0.9805724548892886
Ne20,0.5,50000,8,0.9696544116034416,0.9763431308368709
Ne20,0.5,50000,6,0.9560201261755439,0.9702911751819969
Ne20,0.5,50000,7,0.965996529873139,0.9761153569496058
Ne20,0.5,50000,11,0.9716875549865722,0.9781897297263453
Ne20,0.5,50000,12,0.9632817938980113,0.9752076323818674
Ne20,0.5,50000,10,0.9582166520380445,0.9665573971156572
Ne20,0.5,50000,18,0.9549664705032583,0.9664999778992914
Ne20,0.5,50000,13,0.9600179801356249,0.975503808832989
Ne20,0.5,50000,21,0.9567887914991527,0.9701862325763548
Ne20,0.5,50000,14,0.9629133788928637,0.973551426004021
Ne20,0.5,50000,16,0.9656209902888921,0.9754599686941451
Ne20,0.5,50000,17,0.964772968100053,0.9723806879295839
Ne20,0.5,50000,19,0.9604190665305219,0.9715748716339435
Ne20,0.5,50000,23,0.9626889383648468,0.9753071470060398
Ne20,0.5,50000,15,0.9605753862976214,0.9688417842416638
Ne20,0.5,50000,24,0.9674060075265223,0.9766487852658223
Ne20,0.5,50000,20,0.95376256564897,0.9726322004345368
Ne20,0.5,50000,22,0.9636215231100884,0.9744785061994072
Ne20,0.5,50000,26,0.9688009249739107,0.9747229414576775
Ne20,0.5,50000,30,0.9673830555879291,0.9762752871393702
Ne20,0.5,50000,32,0.9742755461360064,0.9802782318570488
Ne20,0.5,50000,31,0.963069362299565,0.9750673537504552
Ne20,0.5,50000,35,0.96863430964871,0.9810171401936251
Ne20,0.5,50000,28,0.9591226524664499,0.9707744734811623
Ne20,0.5,50000,29,0.9702070231478762,0.9789921583062313
Ne20,0.5,50000,25,0.9689522327056688,0.9799442297726972
Ne20,0.5,50000,36,0.9677221882807346,0.9793812602642182
Ne20,0.5,50000,34,0.9583960198537854,0.9698931835612505
Ne20,0.5,50000,39,0.9632577250614477,0.9763018014718557
Ne20,0.5,50000,33,0.9613076258411787,0.9734389049553919
Ne20,0.5,50000,27,0.9695674967484706,0.9796742215642275
Ne20,0.5,50000,38,0.9649670447138448,0.976094547978619
Ne20,0.5,50000,40,0.9649895681035408,0.974723035406509
Ne20,0.5,50000,44,0.9573160991257718,0.9701772981930411
Ne20,0.5,50000,37,0.9608136966048313,0.9725292924692347
Ne20,0.5,50000,42,0.9542881388485472,0.970451646690128
Ne20,0.5,50000,41,0.9702176980896398,0.9750778407109486
Ne20,0.5,50000,43,0.960106475336424,0.9730417091131103
Ne20,0.5,50000,52,0.9491776831050786,0.967946995875335
Ne20,0.5,50000,45,0.9642203241219927,0.975260769534581
Ne20,0.5,50000,56,0.9670063669193542,0.9769611331639422
Ne20,0.5,50000,48,0.9645079028984482,0.9761632809752337
Ne20,0.5,50000,50,0.9627280935643023,0.9725128550884836
Ne20,0.5,50000,46,0.9618280821776264,0.9758290490290475
Ne20,0.5,50000,53,0.9706756126650689,0.9804396326419851
Ne20,0.5,50000,49,0.9648701743568184,0.9785493069277807
Ne20,0.5,50000,47,0.9550281860269128,0.9705365280812887
Ne20,0.5,50000,51,0.9655246764084053,0.9723450280094492
Ne20,0.5,50000,54,0.9681145371625978,0.976153758899878
Ne20,0.5,50000,55,0.9588244079782622,0.9714509117783551
Ne20,0.5,50000,57,0.9544556448182019,0.9659986533903486
Ne20,0.5,50000,58,0.9615465411519318,0.9755613638083369
Ne50,0.1,5000,1,0.5344478719904363,0.5700247323588105
Ne50,0.1,5000,2,0.47271701441473346,0.5267087811428339
Ne50,0.1,5000,6,0.5337497836560852,0.582102165054326
Ne50,0.1,5000,4,0.42612488430664985,0.46433873127611236
Ne50,0.1,5000,3,0.4627850059332122,0.49546445341771417
Ne50,0.1,5000,7,0.5993179471531768,0.6357441279608209
Ne50,0.1,5000,8,0.45931053313816467,0.5082049869432531
Ne20,0.5,50000,59,0.9631383825175321,0.9745228222702665
Ne50,0.1,5000,5,0.44109999787018717,0.48492397980931656
Ne50,0.1,5000,10,0.4958126140011511,0.5368329317227065
Ne50,0.1,5000,12,0.49313333843532114,0.5430514631152028
Ne50,0.1,5000,9,0.419867653143814,0.5024360638274403
Ne50,0.1,5000,11,0.49244164773967664,0.531668491764471
Ne20,0.5,50000,60,0.9728413455855888,0.9773583168497543
Ne20,0.5,50000,62,0.9648423237868275,0.9740812024979704
Ne20,0.5,50000,61,0.9512968824536435,0.9644507595524012
Ne20,0.5,50000,65,0.9633996679031993,0.9778069849575596
Ne20,0.5,50000,63,0.9660638304613601,0.9784353344456914
Ne20,0.5,50000,64,0.9640842834867249,0.9733572472345167
Ne50,0.1,5000,13,0.5183722545429363,0.5514894720039023
Ne20,0.5,50000,66,0.9577962935073786,0.9705503663732697
Ne50,0.1,5000,14,0.5137967029314977,0.5645493675609319
Ne50,0.1,5000,15,0.5017631439579218,0.5688779289527467
Ne50,0.1,5000,16,0.5329662994952536,0.5769129631342422
Ne50,0.1,5000,17,0.42620407216067324,0.49417802048786347
Ne50,0.1,5000,18,0.5366838051380193,0.5867236768041019
Ne50,0.1,5000,19,0.540276285956561,0.5757103952634097
Ne20,0.5,50000,67,0.9661648614940586,0.9755191819530207
Ne20,0.5,50000,68,0.9573241527331761,0.9658927771946184
Ne50,0.1,5000,21,0.519539834821325,0.5824498536070883
Ne50,0.1,5000,20,0.4215379599288235,0.4697111771799987
Ne50,0.1,5000,22,0.507570711454226,0.5558765865719262
Ne50,0.1,5000,25,0.5489784708951055,0.5819088821483561
Ne50,0.1,5000,26,0.4238210937985603,0.4967040740558094
Ne50,0.1,5000,24,0.4297423932611333,0.47627428164756946
Ne20,0.5,50000,69,0.9663041000956784,0.9757607869201167
Ne50,0.1,5000,23,0.5459532250321926,0.5765052839023672
Ne20,0.5,50000,70,0.9633861979418552,0.9726259415864924
Ne50,0.1,5000,28,0.4544209202566315,0.48757958718315303
Ne50,0.1,5000,27,0.44236246042515154,0.49559520954567826
Ne20,0.5,50000,71,0.9583870092216374,0.969905184017855
