Ne,N,h2,beta2,replicate,empirical_ncp
100,20000,0.1,0.001,66,16.975902665170064
100,20000,0.1,0.001,67,11.189155596609265
100,20000,0.1,0.001,68,7.463636119710708
100,20000,0.1,0.001,69,9.33354105014524
100,20000,0.1,0.001,70,14.035280332172405
100,20000,0.1,0.001,71,10.28746955285952
100,20000,0.1,0.001,72,9.817286810995396
100,20000,0.1,0.001,73,17.82681286514036
100,20000,0.1,0.001,74,11.713434317581704
100,20000,0.1,0.001,75,6.166911399355167
100,20000,0.1,0.001,76,9.42357648579165
100,20000,0.1,0.001,77,9.647238638248378
100,20000,0.1,0.001,78,16.714759914727722
100,20000,0.1,0.001,79,8.790335812082608
100,20000,0.1,0.001,80,10.83710013649166
100,20000,0.1,0.001,81,10.818908854735998
100,20000,0.1,0.001,82,7.866094940588651
100,20000,0.1,0.001,83,10.18305308404116
100,20000,0.1,0.001,84,9.85380406348109
100,20000,0.1,0.001,85,12.639528478123628
100,20000,0.1,0.001,86,6.374406377690164
100,20000,0.1,0.001,87,17.03008351624779
100,20000,0.1,0.001,88,8.910494134011605
100,20000,0.1,0.001,89,11.562596371159454
100,20000,0.1,0.001,90,6.767365087991932
100,20000,0.1,0.001,91,13.724281984492762
100,20000,0.1,0.001,92,13.449934583758287
100,20000,0.1,0.001,93,9.785448769668186
100,20000,0.1,0.001,94,10.865790026782438
100,20000,0.1,0.001,95,7.868950535726077
100,20000,0.1,0.001,96,6.0312667260938095
100,20000,0.1,0.001,97,11.854251404519369
100,20000,0.1,0.001,98,11.557963309243489
100,20000,0.1,0.001,99,8.596830134168327
100,20000,0.1,0.001,100,18.152835265549548
100,5000,0.1,0.001,1,7.132173254082158
100,5000,0.1,0.001,2,5.809816250326771
100,5000,0.1,0.001,3,6.597399119766779
100,5000,0.1,0.001,4,5.696262374980191
100,5000,0.1,0.001,5,3.163305363151059
100,5000,0.1,0.001,6,0.7999257120890058
100,5000,0.1,0.001,7,0.7213520942584366
100,5000,0.1,0.001,8,3.400405700692362
100,5000,0.1,0.001,9,3.708631188520089
100,5000,0.1,0.001,10,3.7305981684946232
100,5000,0.1,0.001,11,1.813299682194209
100,5000,0.1,0.001,12,4.336163686274617
100,5000,0.1,0.001,13,2.4913101224927736
100,5000,0.1,0.001,14,4.1050285748055
100,5000,0.1,0.001,15,3.1170623059069937
100,5000,0.1,0.001,16,1.701613044387083
100,5000,0.1,0.001,17,5.99567112198455
100,5000,0.1,0.001,18,2.367050341310864
100,5000,0.1,0.001,19,2.36845111931572
100,5000,0.1,0.001,20,2.60802704191732
100,5000,0.1,0.001,21,3.27191911437576
100,5000,0.1,0.001,22,2.0703809497606644
100,5000,0.1,0.001,23,1.313613095383718
100,5000,0.1,0.001,24,3.17185586326348
100,5000,0.1,0.001,25,3.1694369847382022
100,5000,0.1,0.001,26,3.473476396834725
100,5000,0.1,0.001,27,3.871000856826983
100,5000,0.1,0.001,28,4.897764037885393
100,5000,0.1,0.001,29,4.3384107608914295
100,5000,0.1,0.001,30,5.120951636073455
100,5000,0.1,0.001,31,4.037255375798385
100,5000,0.1,0.001,32,1.513753846613083
100,5000,0.1,0.001,33,5.656036514477657
100,5000,0.1,0.001,34,1.1813890700355052
100,5000,0.1,0.001,35,5.031007185432808
100,5000,0.1,0.001,36,8.945886922945137
100,5000,0.1,0.001,37,3.139643877968454
100,5000,0.1,0.001,38,3.0655544035294167
100,5000,0.1,0.001,39,6.60628092839722
100,5000,0.1,0.001,40,4.136804030650086
100,5000,0.1,0.001,41,5.845455876799457
100,5000,0.1,0.001,42,5.2913937421592765
100,5000,0.1,0.001,43,8.316876198204913
100,5000,0.1,0.001,44,4.483006951404093
100,5000,0.1,0.001,45,5.463541075686736
100,5000,0.1,0.001,46,3.5757453164370245
100,5000,0.1,0.001,47,4.435514794462411
100,5000,0.1,0.001,48,2.599287200095545
100,5000,0.1,0.001,49,4.6626309276886015
100,5000,0.1,0.001,50,5.143574064071157
100,5000,0.1,0.001,51,7.038093154187141
100,5000,0.1,0.001,52,5.176628463110393
100,5000,0.1,0.001,53,4.425554069546088
100,5000,0.1,0.001,54,2.458924627879991
100,5000,0.1,0.001,55,3.132390921974813
100,5000,0.1,0.001,56,2.324951484107576
100,5000,0.1,0.001,57,6.281011419736975
100,5000,0.1,0.001,58,3.4574839859323117
100,5000,0.1,0.001,59,5.476871329419211
100,5000,0.1,0.001,60,4.228732347447986
100,5000,0.1,0.001,61,6.572891813845172
100,5000,0.1,0.001,62,6.050973412759776
100,5000,0.1,0.001,63,7.509814471662409
100,5000,0.1,0.001,64,1.7994611080768936
100,5000,0.1,0.001,65,2.783975923243996
100,5000,0.1,0.001,66,5.006953365037591
100,5000,0.1,0.001,67,4.215554175838649
100,5000,0.1,0.001,68,4.553744123217116
100,5000,0.1,0.001,69,3.8072962862430453
100,5000,0.1,0.001,70,5.375164304539545
100,5000,0.1,0.001,71,3.18648095707006
100,5000,0.1,0.001,72,3.2811399566518915
100,5000,0.1,0.001,73,4.533182556605363
100,5000,0.1,0.001,74,5.304752243740997
100,5000,0.1,0.001,75,6.301465751098145
100,5000,0.1,0.001,76,2.427048564674263
100,5000,0.1,0.001,77,2.078764847710094
100,5000,0.1,0.001,78,5.117051817206546
100,5000,0.1,0.001,79,1.9617741098072097
100,5000,0.1,0.001,80,4.454112961818518
100,5000,0.1,0.001,81,3.6627360637731536
100,5000,0.1,0.001,82,4.581273869584821
100,5000,0.1,0.001,83,5.878213795891265
100,5000,0.1,0.001,84,3.32501532744702
100,5000,0.1,0.001,85,6.090374637227964
100,5000,0.1,0.001,86,3.352893875682317
100,5000,0.1,0.001,87,3.3679334880575915
100,5000,0.1,0.001,88,4.0313070827785165
100,5000,0.1,0.001,89,5.332233104032495
100,5000,0.1,0.001,90,4.36537541599718
100,5000,0.1,0.001,91,4.220593084166481
100,5000,0.1,0.001,92,2.7704375034393807
100,5000,0.1,0.001,93,3.395295474798073
100,5000,0.1,0.001,94,6.332233479719851
100,5000,0.1,0.001,95,3.012878520554379
100,5000,0.1,0.001,96,4.755197582660472
100,5000,0.1,0.001,97,1.0679623464281711
100,5000,0.1,0.001,98,4.925978790169856
100,5000,0.1,0.001,99,1.6582765012814784
100,5000,0.1,0.001,100,6.249744754979156
100,50000,0.1,0.001,1,23.150723264359776
100,50000,0.1,0.001,2,16.392333693230757
100,50000,0.1,0.001,3,22.54275219165361
100,50000,0.1,0.001,4,16.606505092547607
100,50000,0.1,0.001,5,20.15379053003924
100,50000,0.1,0.001,6,10.93682518750418
100,50000,0.1,0.001,7,23.10161646194651
100,50000,0.1,0.001,8,23.634910221532397
100,50000,0.1,0.001,9,15.273665653535598
100,50000,0.1,0.001,10,18.109275052430245
100,50000,0.1,0.001,11,16.74808323650945
100,50000,0.1,0.001,12,21.087077993827883
100,50000,0.1,0.001,13,22.92168992515508
100,50000,0.1,0.001,14,21.46365811416527
100,50000,0.1,0.001,15,19.30282741792285
100,50000,0.1,0.001,16,28.192242846869497
100,50000,0.1,0.001,17,14.542823526142744
100,50000,0.1,0.001,18,16.148745325747868
100,50000,0.1,0.001,19,17.050950387040402
100,50000,0.1,0.001,20,19.166883023224365
100,50000,0.1,0.001,21,8.964656191608153
100,50000,0.1,0.001,22,24.30790869859198
100,50000,0.1,0.001,23,14.331719952530927
100,50000,0.1,0.001,24,20.086176934603138
100,50000,0.1,0.001,25,16.24815949741403
100,50000,0.1,0.001,26,15.448640842126679
100,50000,0.1,0.001,27,21.69063397370183
100,50000,0.1,0.001,28,22.437843297148955
100,50000,0.1,0.001,29,11.150566042370349
100,50000,0.1,0.001,30,20.89264386587383
100,50000,0.1,0.001,31,21.04114213216414
100,50000,0.1,0.001,32,15.709824158287446
100,50000,0.1,0.001,33,21.573338327757266
100,50000,0.1,0.001,34,16.374516076301354
100,50000,0.1,0.001,35,23.31557827946888
100,50000,0.1,0.001,36,13.402749910553638
100,50000,0.1,0.001,37,14.181745268529799
100,50000,0.1,0.001,38,16.147227975927386
100,50000,0.1,0.001,39,13.748240943750625
100,50000,0.1,0.001,40,18.674846812448045
100,50000,0.1,0.001,41,15.707411232165974
100,50000,0.1,0.001,42,16.040612124194492
100,50000,0.1,0.001,43,18.24460121492478
100,50000,0.1,0.001,44,20.693546603934077
100,50000,0.1,0.001,45,25.291962478072616
100,50000,0.1,0.001,46,19.092102928933482
100,50000,0.1,0.001,47,21.90945655603188
100,50000,0.1,0.001,48,15.499111650256552
100,50000,0.1,0.001,49,14.819720761026256
100,50000,0.1,0.001,50,16.32786590048903
100,50000,0.1,0.001,51,14.664304005370582
100,50000,0.1,0.001,52,23.19937797809999
100,50000,0.1,0.001,53,14.624121115898763
100,50000,0.1,0.001,54,23.47633860599903
100,50000,0.1,0.001,55,15.191059559031704
100,50000,0.1,0.001,56,18.21336650798977
100,50000,0.1,0.001,57,14.90099500668509
100,50000,0.1,0.001,58,15.65709097963892
100,50000,0.1,0.001,59,18.09062022963677
100,50000,0.1,0.001,60,11.965250979968113
100,50000,0.1,0.001,61,14.899890968002609
100,50000,0.1,0.001,62,23.878962615666346
100,50000,0.1,0.001,63,17.109381412310455
100,50000,0.1,0.001,64,18.714561641172363
100,50000,0.1,0.001,65,23.05359858505917
